genepair	stat	globalCor	pval	nperm	globalCorMin	globalCorMax	fdr	sigCluster	startCor	branchpointCor	endCor
Lpp_Tpx2	0.238350827812659	0.00891683755195908	8.06451612903226e-06	62000	-0.083221991391127	0.107699785608602	0.0112347870182556	8	0.429615515439195	0.114824787424115	-0.188432786950321
Malat1_Orc6	0.227308273388867	-0.0403525461054585	7.8125e-06	64000	-0.139541519737119	0.0577614668654508	0.0112347870182556	3	-0.514346403378508	-0.0951981832179432	0.200725259058938
Mcm5_Ube2c	0.218219470738637	-0.0738012439436285	7.57575757575758e-06	66000	-0.17293880180404	0.0231584761284172	0.0112347870182556	3	-0.458579514828321	-0.23151939260474	0.255304371021435
Pid1_Smc4	0.245489907794057	-0.0180501160653613	7.8125e-06	64000	-0.114246373774635	0.080898210554474	0.0112347870182556	2	0.139703715748606	0.126487996099628	-0.340313640693033
Rpa2_Ube2c	0.234201562942231	-0.101686613983464	7.93650793650794e-06	63000	-0.192265477825668	-0.00292910878269716	0.0112347870182556	3	-0.481756197248694	-0.306197577494636	0.105810178025991
Tipin_Ube2c	0.218839396967323	-0.115255783744206	7.57575757575758e-06	66000	-0.21424333476685	-0.0155206721437126	0.0112347870182556	3	-0.450239153408191	-0.182880562318927	0.124654710983801
Apom_Mcm5	0.217040971949491	0.0190992804972382	1.5625e-05	64000	-0.0805893625539821	0.118310693314289	0.0152898550724638	1	-0.203305092816711	-0.23095278868223	0.278084938503382
Ccne1_Rogdi	0.217292412730284	0.220695395655844	1.58730158730159e-05	63000	0.125702373005695	0.312512301797502	0.0152898550724638	1	-0.190509363242317	0.0746412265420115	0.482136263994704
Cdt1_Ube2c	0.218489139201871	-0.288557499617474	1.31578947368421e-05	38000	-0.365101624773709	-0.189919434490123	0.0152898550724638	3	-0.537135030040882	-0.462337067381776	-0.0174204904775755
Id2_Ivns1abp	0.219563934100355	0.0587549750500995	1.53846153846154e-05	65000	-0.0381559795481844	0.158312693405459	0.0152898550724638	2	0.0204946145657753	0.293920830481514	-0.404515246678525
Malat1_Tipin	0.230724087021256	0.10234901166873	1.5625e-05	64000	0.00514157712489368	0.198976737808897	0.0152898550724638	4	-0.37822555825757	0.110792987737063	0.269045171159726
Rrm2_Ube2c	0.222898455698688	0.119712877371442	1.5625e-05	64000	0.0218008170690466	0.218657493574795	0.0152898550724638	4	-0.309931013405154	0.0778688612312545	0.263847741979949
Apom_Krt8	0.218307633302484	0.374748884313101	1.75438596491228e-05	57000	0.277620782007378	0.461818047536442	0.0155473684210526	7	-0.0730628323506657	0.228122324806558	0.625191307023872
Ccna2_H2afz	0.197216632342986	0.523032145281534	1.72413793103448e-05	29000	0.427087135774034	0.601175636627959	0.0155473684210526	7	0.0936389481548227	0.401705783859004	0.638791104482542
Birc5_H2afz	0.20098847888394	0.596276650066381	3.125e-05	16000	0.507367296954526	0.643455655752506	0.0242528735632184	7	-0.0431061422031115	0.477594134959377	0.65967850763064
