genepair	stat	globalCor	pval	nperm	globalCorMin	globalCorMax	fdr	sigCluster	startCor	branchpointCor	endCor
Acss1_Ivns1abp	0.22665313201709	-0.181291302677755	8.33333333333333e-06	60000	-0.280283800922374	-0.083221991391127	0.0112347870182556	2	-0.0465263464879758	0.148281187854603	-0.555175086537568
Apom_Ivns1abp	0.215731699284213	-0.100354397779969	7.8125e-06	64000	-0.192265477825668	-0.00141631897708411	0.0112347870182556	2	0.257379192827815	0.00401613669212764	-0.493963279213114
Bex1_Ivns1abp	0.217303901906592	-0.172780667387312	8.06451612903226e-06	62000	-0.271348587974505	-0.0747219572906327	0.0112347870182556	2	0.15963231013459	-0.0454089560988915	-0.576998978116311
Birc5_Rrm2	0.247262966649708	0.20603730700092	7.57575757575758e-06	66000	0.106193356516958	0.305806165722748	0.0112347870182556	1	-0.179723668848851	0.079744555144699	0.439868066023854
Ccna2_Lpp	0.21531874878878	-0.147504956939733	7.57575757575758e-06	66000	-0.247192186498961	-0.0479060706300747	0.0112347870182556	2	0.149761507046834	-0.053962694873781	-0.272906086981251
Ccnb1_H2afz	0.227092057878475	0.374511947717758	8.62068965517241e-06	58000	0.274636016977452	0.461818047536442	0.0112347870182556	7	-0.0725265215832749	0.268349816965214	0.530743328043747
Ccnb1_Lpp	0.259722796974002	-0.100645577130548	7.8125e-06	64000	-0.192265477825668	-0.00141631897708411	0.0112347870182556	8	0.344678661558944	-0.025461146224329	-0.275946002594492
Ccnb1_Malat1	0.258347405111833	0.018750147974943	7.8125e-06	64000	-0.0805893625539821	0.118310693314289	0.0112347870182556	8	0.493347591990098	0.0445269751636114	-0.279057009944376
Ccnb1_Rrm2	0.225949091296233	0.20817521364048	7.8125e-06	64000	0.10989758897137	0.305806165722748	0.0112347870182556	1	-0.284972338524354	0.242184194486373	0.464176908138347
Cdt1_Malat1	0.229351427339945	-0.0824062298246104	7.8125e-06	64000	-0.181291302677755	0.0158947174623861	0.0112347870182556	3	-0.481517872920783	-0.104051579021334	0.193462735760346
Dsg2_Nampt	0.228391787773806	-0.06549662511118	7.8125e-06	64000	-0.161249399707619	0.033877339285077	0.0112347870182556	2	0.170283231692338	0.0457144338314163	-0.360473619480712
Lpp_Tpx2	0.238350827812659	0.00891683755195908	8.06451612903226e-06	62000	-0.083221991391127	0.107699785608602	0.0112347870182556	8	0.429615515439195	0.114824787424115	-0.188432786950321
